,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
strain.0,0.4855043616107015,0.0,-0.05103814679768492,0.0,0.0,0.0
strain.1,0.0,0.0,0.0,0.0,0.0,0.0
strain.10,0.0022755139574243397,0.0,0.0,0.0,0.0,-0.17677315231221216
strain.100,0.0,0.0,-0.1505504664325914,0.0,0.0,0.0
strain.101,-0.0024787000581395118,0.0,0.0024742639877791237,0.0,0.0,-0.8710348230756982
strain.102,0.0,0.0,-0.29991228724943086,0.0,0.0,0.000766527612506639
strain.103,-0.007112372377949066,0.0,0.0,0.0,0.818946253036047,0.0
strain.104,0.020107089433598145,0.041496808474314986,-0.000840489060980364,-0.013736142718559491,0.38794178945406244,-4.583894501490409e-05
strain.105,0.0,0.0,0.0,0.0,-0.013519631351765198,0.0
strain.106,0.0028124042109371403,0.0656692174010177,0.25197678010052393,-0.02319868973247278,0.012791433443377284,-0.165957106884409
strain.107,0.0,0.0,0.0,-0.09403174508387518,0.0,-0.010264748671774132
strain.108,0.0,0.0014600716117489675,0.0,0.009148288495650726,0.0,-0.009882792514112176
strain.109,-1.3707752755274933,0.0,0.006847533795794013,0.0,0.0,0.0
strain.11,0.00014253945574475185,0.0,0.0,-0.00508268312652209,-0.001959847247435947,-0.010863385463513862
strain.110,1.3759957863304924,0.0,-3.614154485356941,0.5825866246191971,1.2292513588525003,0.783692252183087
strain.111,-0.34764155307177,0.0,0.00567772921868328,0.0015936302724365629,0.0,0.0
strain.112,0.0,0.0,0.030533564485111037,0.23180741352520118,0.0,-0.19255785005496365
strain.113,-0.00035339418490154957,0.0,0.0,0.001744809377869461,0.0,0.0
strain.114,0.0,0.0,0.0,0.0,0.0,0.0
strain.115,0.0,0.0,0.0,0.0,0.0,0.0
strain.116,-0.0175840371609395,0.0,0.0,-0.13356594401407912,0.0,0.0
strain.117,0.0,0.0,0.0,-0.002761918776410489,0.0,0.0
strain.118,-0.05802531815327463,0.0,0.0,0.0,0.0,0.0
strain.119,0.0,0.0,0.0,0.0,0.0,0.0
strain.12,-0.0002120494995368719,0.0,0.0,0.28479663044959697,0.0,0.0
strain.120,0.0,0.0,0.0,-0.0033299804140744784,0.0,0.0
strain.121,0.0,0.7842086357525334,-0.1879353604832523,-0.1844153047716667,0.0,0.0
strain.122,-0.0009019366904075696,0.0,-1.0539751406427504,0.0,0.004195674571972283,0.0
strain.123,-0.001858238260929471,0.0,-0.19661117558949018,0.0,0.0,0.1445811580910602
strain.124,0.0,0.0,0.0,0.3403622149136779,-0.12570883011196218,-1.200422212747592
strain.125,0.0,0.0,0.0,0.0359869102128156,6.161984051553163e-06,-0.7552783200202938
strain.126,-0.08323737935359374,0.08913964471051264,0.0,-0.003129089148649698,0.008758718732257443,-0.04336725010303241
strain.127,0.0,0.0,0.0,0.0009024572754017649,0.05263920941804269,0.0
strain.128,0.48639678860681484,0.0,0.0,-0.21632753541961236,-0.08404779883638414,0.5068990139529476
strain.129,-0.11933786355755936,0.0,0.3658849776788863,0.0,0.004734319088738464,0.0
strain.13,0.0,0.0,0.0,0.0,0.0,0.0
strain.130,0.0,0.0,0.0,0.024440397676701395,0.0,0.0
strain.131,-0.08118203490738705,0.0,0.0,0.0,0.3261538269737683,0.0
strain.132,0.0,0.0,0.0,0.12062865974590829,-0.0038437160671400314,0.0006990893913926574
strain.133,0.0,0.0,0.5279471929206427,0.0,-0.027495452220768286,0.0
strain.134,0.0016028041317819465,0.0,0.0,0.0,0.0,0.0
strain.135,0.0,0.0,0.0,0.0,0.012389317995132015,-0.00047045510219207777
strain.136,0.0,9.105771314928198e-05,0.0,-0.33407846349957293,0.0,0.0
strain.137,0.0,0.0,-3.280887423859144e-05,0.0,0.5497103472968247,0.0
strain.138,0.0,0.0,0.0,-0.4826424843320179,0.0,0.6997866551090736
strain.139,0.0,0.0,0.0,0.0,0.005079822403164095,0.0
strain.14,-0.0018819888363729171,0.0,-0.6688896714671277,0.0,0.0,0.00018578202866120623
strain.140,-0.9218485009040244,0.0,0.0,0.0,0.013090175784903827,0.0
