,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
strain.0,0.5226270316181273,0.0,-0.0302187531799652,0.0,0.0,0.0
strain.1,0.0,0.0,0.0,0.0,0.0,0.0
strain.10,0.004165852038777792,0.0,0.0,0.0,0.0,-0.1885867544207294
strain.100,0.0,0.0,-0.07498605564135476,0.0,0.0,0.0
strain.101,-0.002940411560471723,0.0,0.002555543672697948,0.0,0.0,-0.8307504245322714
strain.102,0.0,0.006220291237061342,-0.418372393630868,0.0,0.0,0.0
strain.103,-0.009408845966717169,0.0,0.0,0.0,0.8238898903169452,0.0
strain.104,0.010767384280798006,0.01899344039312566,-0.00035400055230131995,-0.018687777887161548,0.34347876486325535,-0.0007650049982116678
strain.105,0.0,0.0,0.0,0.0,-0.01089073600125381,0.0
strain.106,0.0019948290525353715,0.03515820247356984,0.2532100484092652,-0.015390193805974686,0.0166281629982901,-0.20149555923926565
strain.107,0.0,0.0,0.0,-0.04157207883600638,0.0,-0.004410288136453903
strain.108,-4.492953818004865e-06,0.0,0.0,0.0037303140943268807,0.0,-0.009685921543131283
strain.109,-1.3435776845700418,0.0,0.007888726567045007,0.0,0.0,0.0
strain.11,0.002704217966623,0.0,0.0,0.0,0.0,-3.2754788319368685e-05
strain.110,1.3110845109289293,0.0,-3.7829897400192936,0.48871429123105603,1.1844828537415852,0.5546506780159489
strain.111,-0.371779242817731,0.0,0.003384955134396825,0.0022212451563715725,0.0,-0.0031553111468101617
strain.112,0.0,0.0,0.029734936949233893,0.22078931917367714,0.0,-0.15226747029798196
strain.113,0.0,0.0,-0.0017087778303184194,0.002592456277785015,0.0,0.0
strain.114,0.0,0.0,0.0,0.0,0.0,0.0005408419398695994
strain.115,0.0,0.0,0.0,0.0,0.0,0.0
strain.116,-0.008745357449334261,0.0,0.0,-0.14227895591897693,0.0,0.0
strain.117,0.0,0.0,0.0,-0.0005234056072464428,0.0,0.0
strain.118,-0.04713083605918726,0.0,0.0,0.0,0.0,0.0
strain.119,0.0,0.0,0.0,0.0,0.0,0.0
strain.12,0.0,0.0,0.0,0.23944818967800396,0.0,0.0
strain.120,0.0,0.0,-0.0012513457936133134,0.0,0.0,0.0
strain.121,0.0,0.7727074507137097,-0.1622192521018817,-0.3614570032966716,0.0,0.0
strain.122,-0.0017774754101780254,0.0,-1.0256662497960904,0.0,0.005188873047747271,0.0
strain.123,-0.003219559295021814,0.0,-0.2481080538241284,0.0019831258230856496,0.0,0.17500276916240423
strain.124,0.0,0.0,0.0,0.16733791518662608,-0.06819550651477142,-1.015930238783952
strain.125,0.0,0.0,0.0,0.031090007968564315,0.0,-0.6274130854585319
strain.126,-0.08066941653694575,0.2828371197894834,0.0,-0.001274325722163086,0.011565576195917216,-0.06765606546554721
strain.127,0.0,0.0,0.0,0.0,0.10284603335578617,0.0
strain.128,0.4773653203756326,0.0,0.0,-0.21782070186815458,-0.10688651958617866,0.4426060930640163
strain.129,-0.09607175248188844,0.0,0.36179192306158703,0.0,0.0022374431596570523,0.0
strain.13,0.0,0.0,0.0,0.0,0.0,0.0
strain.130,0.0,0.0,0.0,0.03874112492932557,0.0,0.0
strain.131,-0.0805670154222263,0.0,0.0,0.0,0.34135483771692837,0.0
strain.132,0.0,0.0,0.0,0.046019438625297206,-0.004332548526888616,0.0
strain.133,0.0,0.0,0.4751107798017931,0.0,-0.015551231775710099,0.0
strain.134,0.0,0.0,0.0,0.0,0.0,0.0
strain.135,0.0,0.0,0.0,0.0,0.013847559655007016,0.0
strain.136,0.001704175203406153,0.0,0.0,-0.23298267015258567,0.0,0.0
strain.137,0.0,0.0,-0.0012215055104655883,0.0,0.5366920251615512,0.0
strain.138,0.0,0.0,0.0,-0.4753858801500016,0.0,0.7533629304958024
strain.139,0.0,0.0,0.0,0.0,0.006475167780879836,0.0
strain.14,-0.0010589782915171107,0.0,-0.610296989303486,0.0,-0.0005817807948807323,0.0
strain.140,-0.9062823951561325,0.0,0.0,0.0,0.007621616114231657,0.0
strain.141,0.0,0.0,0.0,0.00048799228539971506,-0.000392703521735316,0.0
