Drug,Conc,R1,R2,R3,R4,R5,R6,mean
drug_0,0.000xMIC,0.8485,0.8836,1.06,0.9194,0.9105,1.0767,0.9497833333333333
drug_0,2xMIC,0.6709,0.7067,0.7536,0.7634,0.7847,0.7717,0.7418333333333335
drug_0,4xMIC,0.2796,0.6334,0.4026,0.5253,0.6317,0.6409,0.5189166666666667
drug_0,8xMIC,0.2876,0.5529999999999999,0.7734,0.5185,0.5649,0.6715,0.5614833333333333
drug_1,0.000xMIC,0.8779,0.8657,0.9229,1.0435,0.9088,0.9837,0.93375
drug_1,0.25xMIC,0.525,0.6004,0.7599,0.7117,0.7348,0.6967,0.6714166666666667
drug_1,0.5xMIC,0.601,0.6248,0.6415,0.5439,0.5873,0.6548,0.6088833333333333
drug_1,1xMIC,0.2185,0.3727,0.4214,0.4352,0.4461,0.3722,0.3776833333333333
drug_10,0.000xMIC,0.885,0.9791,0.9144,0.8852,1.0447,0.8298,0.9230333333333333
drug_10,2xMIC,0.9736,0.9439,0.9673,0.9387,1.0685,0.98,0.9786666666666667
drug_10,4xMIC,0.9124,0.965,0.9033,0.9152,0.8449,0.9289,0.9116166666666666
drug_10,8xMIC,0.8392,0.7842,0.8326,0.9432,0.9735,0.8582,0.8718166666666667
drug_11,0.000xMIC,1.0477,1.1779,1.0595,1.1535,1.1401,1.0573,1.1059999999999999
drug_11,1xMIC,0.8238,0.8195,0.9224,0.895,0.763,0.8679,0.8485999999999999
drug_11,2xMIC,0.8158,0.8905,0.8897,0.8926,0.8778,0.8823,0.8747833333333332
drug_11,4xMIC,0.4069,0.389,0.3887,0.4252,0.4281,0.4154,0.4088833333333333
drug_12,0.000xMIC,0.9804,1.0646,1.0283,1.213,1.1262,1.2265,1.1064999999999998
drug_12,1xMIC,0.7291,0.685,0.7056,0.7394,0.7196,0.7043,0.7138333333333332
drug_12,2xMIC,0.503,0.4986,0.5295,0.5025,0.516,0.4931,0.5071166666666667
drug_12,4xMIC,0.3445,0.3384,0.3427,0.4202,0.5604,0.7718,0.4629999999999999
drug_13,0.000xMIC,1.1501,0.9867,1.0424,0.9527,1.0063,0.9475,1.0142833333333332
drug_13,2xMIC,1.1540000000000001,1.016,0.9787,1.0,1.2199,1.0298,1.0664
drug_13,4xMIC,1.1652,0.9367,1.0272,1.1871,1.1003,1.0188,1.07255
drug_13,8xMIC,1.1952,0.9961,1.0743,0.946,0.9579,1.1059999999999999,1.0459166666666666
drug_14,0.000xMIC,1.1983,1.0006,1.1158,1.0549,1.0294,1.0056,1.0674333333333335
drug_14,1xMIC,0.5658,0.5746,0.6342,0.6399,0.6813,0.6192,0.6191666666666666
drug_14,2xMIC,0.4231,0.4764,0.4575,0.494,0.4475,0.3801,0.4464333333333333
drug_14,4xMIC,0.3369,0.3188,0.3371,0.3461,0.3184,0.304,0.32688333333333336
drug_15,0.000xMIC,1.1840000000000002,0.9375,1.1765,1.1972,1.1897,1.1896,1.1457500000000003
drug_15,1xMIC,0.6656,0.6685,0.6738,0.687,0.6387,0.6401,0.6622833333333332
drug_15,2xMIC,0.3208,0.3374,0.3346,0.3122,0.2997,0.2723,0.31283333333333335
drug_15,8xMIC,0.1368,0.1414,0.1337,0.9481,0.9822,0.1305,0.4121166666666667
drug_16,0.000xMIC,0.9899,1.0677,1.0334,0.9904,1.0551,0.9765,1.0188333333333333
