Plate,Dispensedwell,Dispensedrow,Dispensedcol,Nonrandomwell,Nonrandomrow,Nonrandomcol,xMIC,Replicate,Short
29,B03,2,3,B09,2,9,0.125xMIC,1,drug_0
29,B04,2,4,B03,2,3,8xMIC,1,drug_0
29,B05,2,5,E06,5,6,1xMIC,1,drug_0
29,B06,2,6,F04,6,4,4xMIC,1,drug_0
29,B07,2,7,G09,7,9,0.125xMIC,2,drug_0
29,B08,2,8,E09,5,9,0.125xMIC,3,drug_0
29,B09,2,9,E10,5,10,0.000xMIC,1,drug_0
29,B10,2,10,C05,3,5,2xMIC,1,drug_0
29,C03,3,3,G05,7,5,2xMIC,2,drug_0
29,C04,3,4,F07,6,7,0.5xMIC,1,drug_0
29,C05,3,5,E03,5,3,8xMIC,2,drug_0
29,C06,3,6,C10,3,10,0.000xMIC,2,drug_0
29,C07,3,7,G08,7,8,0.25xMIC,1,drug_0
29,C08,3,8,C07,3,7,0.5xMIC,2,drug_0
29,C09,3,9,F06,6,6,1xMIC,2,drug_0
29,C10,3,10,E05,5,5,2xMIC,3,drug_0
29,D03,4,3,B04,2,4,4xMIC,2,drug_0
29,D04,4,4,B10,2,10,0.000xMIC,3,drug_0
29,D05,4,5,E08,5,8,0.25xMIC,2,drug_0
29,D06,4,6,C03,3,3,8xMIC,3,drug_0
29,D07,4,7,B05,2,5,2xMIC,4,drug_0
29,D08,4,8,F05,6,5,2xMIC,5,drug_0
29,D09,4,9,D05,4,5,2xMIC,6,drug_0
29,D10,4,10,B08,2,8,0.25xMIC,3,drug_0
29,E03,5,3,F03,6,3,8xMIC,4,drug_0
29,E04,5,4,G10,7,10,0.000xMIC,4,drug_0
29,E05,5,5,G04,7,4,4xMIC,3,drug_0
29,E06,5,6,D03,4,3,8xMIC,5,drug_0
29,E07,5,7,G07,7,7,0.5xMIC,3,drug_0
29,E08,5,8,D08,4,8,0.25xMIC,4,drug_0
29,E09,5,9,G03,7,3,8xMIC,6,drug_0
29,E10,5,10,D04,4,4,4xMIC,4,drug_0
29,F03,6,3,F10,6,10,0.000xMIC,5,drug_0
29,F04,6,4,D07,4,7,0.5xMIC,4,drug_0
29,F05,6,5,F08,6,8,0.25xMIC,5,drug_0
29,F06,6,6,F09,6,9,0.125xMIC,4,drug_0
29,F07,6,7,E07,5,7,0.5xMIC,5,drug_0
29,F08,6,8,G06,7,6,1xMIC,3,drug_0
29,F09,6,9,C04,3,4,4xMIC,5,drug_0
29,F10,6,10,C08,3,8,0.25xMIC,6,drug_0
29,G03,7,3,D10,4,10,0.000xMIC,6,drug_0
29,G04,7,4,E04,5,4,4xMIC,6,drug_0
29,G05,7,5,B06,2,6,1xMIC,4,drug_0
29,G06,7,6,C06,3,6,1xMIC,5,drug_0
29,G07,7,7,B07,2,7,0.5xMIC,6,drug_0
29,G08,7,8,D06,4,6,1xMIC,6,drug_0
29,G09,7,9,C09,3,9,0.125xMIC,5,drug_0
29,G10,7,10,D09,4,9,0.125xMIC,6,drug_0
30,B03,2,3,D03,4,3,8xMIC,1,drug_1
30,B04,2,4,B08,2,8,0.25xMIC,1,drug_1
30,B05,2,5,E03,5,3,8xMIC,2,drug_1
30,B06,2,6,F08,6,8,0.25xMIC,2,drug_1
30,B07,2,7,G06,7,6,1xMIC,1,drug_1
30,B08,2,8,C05,3,5,2xMIC,1,drug_1
30,B09,2,9,B06,2,6,1xMIC,2,drug_1
30,B10,2,10,D10,4,10,0.000xMIC,1,drug_1
30,C03,3,3,F03,6,3,8xMIC,3,drug_1
30,C04,3,4,D09,4,9,0.125xMIC,1,drug_1
30,C05,3,5,B04,2,4,4xMIC,1,drug_1
30,C06,3,6,G10,7,10,0.000xMIC,2,drug_1
30,C07,3,7,F07,6,7,0.5xMIC,1,drug_1
30,C08,3,8,D04,4,4,4xMIC,2,drug_1
30,C09,3,9,C06,3,6,1xMIC,3,drug_1
30,C10,3,10,D06,4,6,1xMIC,4,drug_1
30,D03,4,3,G04,7,4,4xMIC,3,drug_1
30,D04,4,4,C03,3,3,8xMIC,4,drug_1
30,D05,4,5,E04,5,4,4xMIC,4,drug_1
30,D06,4,6,D08,4,8,0.25xMIC,3,drug_1
30,D07,4,7,D07,4,7,0.5xMIC,2,drug_1
30,D08,4,8,G05,7,5,2xMIC,2,drug_1
30,D09,4,9,F06,6,6,1xMIC,5,drug_1
30,D10,4,10,B07,2,7,0.5xMIC,3,drug_1
30,E03,5,3,G07,7,7,0.5xMIC,4,drug_1
30,E04,5,4,C07,3,7,0.5xMIC,5,drug_1
30,E05,5,5,D05,4,5,2xMIC,3,drug_1
30,E06,5,6,B09,2,9,0.125xMIC,2,drug_1
30,E07,5,7,E10,5,10,0.000xMIC,3,drug_1
30,E08,5,8,B03,2,3,8xMIC,5,drug_1
30,E09,5,9,B10,2,10,0.000xMIC,4,drug_1
30,E10,5,10,B05,2,5,2xMIC,4,drug_1
30,F03,6,3,F05,6,5,2xMIC,5,drug_1
30,F04,6,4,F10,6,10,0.000xMIC,5,drug_1
30,F05,6,5,G09,7,9,0.125xMIC,3,drug_1
30,F06,6,6,G03,7,3,8xMIC,6,drug_1
30,F07,6,7,C04,3,4,4xMIC,5,drug_1
30,F08,6,8,C09,3,9,0.125xMIC,4,drug_1
30,F09,6,9,E07,5,7,0.5xMIC,6,drug_1
30,F10,6,10,F04,6,4,4xMIC,6,drug_1
